latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.6231,-35.06329,301.33,2.37,1.49,2021-08-18,0024,T,34,6.1NRT,286.79,21.66,N
-8.5872,16.46078,308.6,1.38,1.16,2021-08-18,0009,A,75,6.1NRT,289.54,14.33,N
-9.64396,22.69249,321.3,1.21,1.09,2021-08-18,0009,A,100,6.1NRT,287.37,24.92,N
-9.64551,22.7036,342.36,1.21,1.1,2021-08-18,0009,A,100,6.1NRT,295.18,62.2,N
-9.64707,22.71478,310.9,1.22,1.1,2021-08-18,0009,A,24,6.1NRT,289.64,12.86,N
-9.65378,22.6911,324.93,1.21,1.09,2021-08-18,0009,A,100,6.1NRT,285.51,30.63,N
-9.65533,22.70213,325.14,1.21,1.1,2021-08-18,0009,A,100,6.1NRT,288.77,30.07,N
-9.65689,22.71331,323.09,1.22,1.1,2021-08-18,0009,A,100,6.1NRT,290,27.33,N
-9.3131,20.12084,323.33,1,1,2021-08-18,0009,A,100,6.1NRT,290.18,21.71,N
-9.33235,20.12724,355.66,1,1,2021-08-18,0009,A,100,6.1NRT,293.54,75.48,N
-9.33367,20.13626,344.49,1,1,2021-08-18,0009,A,100,6.1NRT,292.76,51.78,N
-9.34132,20.12593,339.07,1,1,2021-08-18,0009,A,100,6.1NRT,290.68,41.92,N
-9.34264,20.13496,381.25,1,1,2021-08-18,0009,A,100,6.1NRT,297.4,158.79,N
-9.35028,20.12462,312.76,1,1,2021-08-18,0009,A,86,6.1NRT,289.29,11.97,N
-9.35161,20.13365,353.25,1,1,2021-08-18,0009,A,100,6.1NRT,292.36,69.61,N
-9.35293,20.14267,322.92,1,1,2021-08-18,0009,A,100,6.1NRT,289.36,21.29,N
-9.36057,20.13234,318.6,1,1,2021-08-18,0009,A,97,6.1NRT,289.67,16.68,N
-9.3619,20.14136,365.42,1,1,2021-08-18,0009,A,100,6.1NRT,295.46,102.28,N
-9.37086,20.14005,351.35,1,1,2021-08-18,0009,A,100,6.1NRT,292.92,66.03,N
-9.37219,20.14907,301.42,1,1,2021-08-18,0009,A,11,6.1NRT,288.48,4.97,N
-9.37983,20.13873,340.22,1,1,2021-08-18,0009,A,100,6.1NRT,291.02,44.27,N
-9.38879,20.13742,322.09,1,1,2021-08-18,0009,A,100,6.1NRT,290.46,20.45,N
-9.39776,20.13611,302.47,1,1,2021-08-18,0009,A,49,6.1NRT,288.62,6,N
-9.62935,21.09633,310.09,1.04,1.02,2021-08-18,0009,A,79,6.1NRT,286.73,12.24,N
-9.63073,21.10581,305.19,1.04,1.02,2021-08-18,0009,A,63,6.1NRT,287.39,8.83,N
-10.0444,21.68917,314.31,1.09,1.04,2021-08-18,0009,A,89,6.1NRT,286,17.32,N
-9.95527,20.35981,305.68,1.01,1,2021-08-18,0009,A,65,6.1NRT,287.25,8.7,N
-9.9566,20.36894,314.37,1.01,1,2021-08-18,0009,A,89,6.1NRT,286.8,14.99,N
-9.89127,19.86036,327.36,1,1,2021-08-18,0009,A,100,6.1NRT,287.25,28.25,N
-9.8926,19.86939,305.58,1,1,2021-08-18,0009,A,65,6.1NRT,285.73,9.16,N
-9.97222,20.41311,311.67,1.01,1,2021-08-18,0009,A,83,6.1NRT,287.51,13.06,N
-9.97355,20.42223,301.05,1.01,1,2021-08-18,0009,A,37,6.1NRT,286.89,6.25,N
-10.00963,19.10937,310.46,1.01,1.01,2021-08-18,0009,A,80,6.1NRT,290.7,11.27,N
-11.47194,27.85657,302.09,3.08,1.67,2021-08-18,0009,A,47,6.1NRT,284.87,38.97,N
-10.40995,19.75591,306.9,1,1,2021-08-18,0009,A,70,6.1NRT,287.1,8.97,N
-10.41128,19.76496,300.31,1,1,2021-08-18,0009,A,9,6.1NRT,287.31,5.15,N
-10.45062,18.30868,300.52,1.06,1.03,2021-08-18,0009,A,29,6.1NRT,289.74,5.31,N
-10.69344,19.42993,305.99,1,1,2021-08-18,0009,A,66,6.1NRT,285.18,9.24,N
-12.20942,28.10306,301.63,3.3,1.72,2021-08-18,0009,A,43,6.1NRT,285.94,40.1,N
-14.5036,22.69081,303.46,1.39,1.17,2021-08-18,0011,A,55,6.1NRT,285.87,13.51,N
-14.84417,16.54974,304.12,1.13,1.06,2021-08-18,0011,A,59,6.1NRT,283.2,10.13,N
-14.85464,16.52105,311.4,1.13,1.06,2021-08-18,0011,A,82,6.1NRT,284.09,15.73,N
-14.9837,16.45018,302.54,1.14,1.06,2021-08-18,0011,A,50,6.1NRT,284.24,9.46,N
-15.93046,16.26741,319.34,1.13,1.06,2021-08-18,0011,A,98,6.1NRT,288.22,23.13,N
27.98922,22.32567,315.34,1.81,1.32,2021-08-18,0001,A,91,6.1NRT,296.27,30.97,N
27.65149,22.49958,308.85,1.75,1.3,2021-08-18,0001,A,76,6.1NRT,296.2,18.68,N
-4.31329,27.67214,303.44,2.3,1.47,2021-08-18,0009,A,30,6.1NRT,287.72,23.35,N
-4.31358,27.68885,302.45,2.31,1.47,2021-08-18,0009,A,36,6.1NRT,285.53,20.38,N
-4.97412,27.85753,300.96,2.45,1.51,2021-08-18,0009,A,36,6.1NRT,289.76,16.61,N
-4.83523,26.27347,304.88,1.82,1.32,2021-08-18,0009,A,62,6.1NRT,289.26,16.12,N
-4.62684,22.07521,304.5,1.03,1.02,2021-08-18,0009,A,60,6.1NRT,279.02,6.2,N
-4.62818,22.08447,305.73,1.03,1.02,2021-08-18,0009,A,65,6.1NRT,281.48,6.97,N
